bin,Acesta stet.,Actiniaria free stet.,Arthropoda stet.,Bonelliidae stet.,Brachyura stet.,Cancer pagurus stet.,Caridea stet.,Coral rubble,Dead D.pertusum framework,Desmophyllum pertusum,Echinoidea stet.,Echinus stet.,Fauna,Gadidae stet.,Holothuroidea stet.,Laser points,Mud,Munida stet.,No observation,Parastichopus stet.,Pisces,S3,S5,Sand,Sebastes stet.,Shellsand,Very coarse sediment with mud,flat,high confidence,medium confidence,mucus absent,mucus undeterminable,polyps extended,polyps undeterminable,steep,Anthothela grandiflora,Asteroidea stet.,Bedrock with sediment cover,Bivalvia stet.,Exposed bedrock,G-undeterminable,Gorgonian spare,Living D.pertusum framework,Porifera massive,Porifera stet.,Primnoa stet.,S-undeterminable,S1,near-vertical,spare coral associated fauna,Crinoidea stet.,G0,G3,Gastropoda stet.,Hydrozoa stet.,Paragorgia stet.,Porifera fan/funnel/stalk/cup,VME Porifera fan/stalk/cup/funnel <10 cm,moderate,Caridea spp. stet.,Serpulidae stet.,Sp-undeterminable,polyps retracted,overhang,Hippasteria stet.,Sp0,Lotidae stet.,Ophiuroidea stet.,marine litter,Sabellidae stet.,Sp1
"All(0,800]",28,30,32,16,2,5,44,9,18,29,20,18,1074,8,2,714,1,2,3,1,74,5,1,16,4,15,7,7,7,22,1,77,3,73,25,5,10,58,26,44,38,59,8,21,1,40,19,4,86,13,3,8,3,1,5,16,105,152,2,1,19,4,2,4,1,1,1,1,2,1,1
"[0,50]",17,2,2,12,2,2,19,8,3,6,1,1,38,1,1,50,1,2,1,1,1,5,1,1,1,8,2,7,4,4,1,5,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(50,100]",11,2,3,0,0,1,4,1,15,23,1,0,43,0,1,72,0,0,0,0,4,0,0,0,1,0,1,0,0,4,0,33,0,33,1,2,1,2,26,8,10,24,8,6,1,8,19,4,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(100,150]",0,7,20,1,0,0,17,0,0,0,2,5,168,0,0,96,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,7,0,7,0,0,3,11,0,5,4,7,0,2,0,9,0,0,15,2,2,2,1,1,4,2,7,17,1,0,0,0,0,0,0,0,0,0,0,0,0
"(150,200]",0,4,2,1,0,0,4,0,0,0,1,4,278,0,0,88,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,8,1,5,0,2,2,10,0,5,5,23,0,3,0,4,0,0,15,2,1,2,1,0,0,6,19,24,0,1,3,1,2,0,0,0,0,0,0,0,0
"(200,250]",0,5,3,1,0,0,0,0,0,0,2,3,245,0,0,84,0,0,1,0,5,0,0,0,0,0,0,0,1,4,0,17,1,16,0,0,2,6,0,8,12,1,0,0,0,17,0,0,13,0,0,4,1,0,1,3,19,65,0,0,5,2,0,3,0,0,0,0,0,0,0
"(250,300]",0,3,0,0,0,0,0,0,0,0,3,0,80,1,0,50,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,7,0,7,0,1,0,3,0,8,7,4,0,0,0,2,0,0,9,0,0,0,0,0,0,5,14,18,0,0,1,0,0,1,1,1,0,0,0,0,0
"(300,350]",0,1,0,0,0,1,0,0,0,0,4,3,48,2,0,49,0,0,0,0,21,0,0,1,1,3,0,0,0,0,0,0,0,0,3,0,0,7,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,1,1,1,0,0
"(350,400]",0,1,1,0,0,0,0,0,0,0,6,2,17,0,0,40,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,3,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0
"(400,450]",0,3,0,0,0,0,0,0,0,0,0,0,10,1,0,28,0,0,0,0,10,0,0,3,1,1,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0
"(450,500]",0,0,1,1,0,0,0,0,0,0,0,0,19,2,0,22,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"(500,550]",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,0,0,0,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(550,600]",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(600,650]",0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,16,0,0,0,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(650,700]",0,2,0,0,0,0,0,0,0,0,0,0,11,1,0,18,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"(700,750]",0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,40,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,26,6,0,0,7,1,0,0,0,0,0,0,0,1,1
"(750,800]",0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
